regionID,value
33001,4.26
33002,1.96
33011,14.03
33012,4.23
33013,18.21
33014,3.9
33015,28.74
33016,43.76
33017,11.91
33018,16.19
33003,1.96
33004,4.12
33005,21.25
33006,3.21
33007,16.2
33008,2.83
33009,14.37
33010,6.89
33001,2.02
33002,1.04
33011,6.69
33012,8.94
33013,13.54
33014,3.23
33015,10.01
33016,5.66
33017,1.05
33018,2.69
33003,0.28
33004,2.11
33005,6.05
33006,12.38
33007,16.53
33008,4.77
33009,5.33
33010,0.57
33001,1.27
33002,0.05
33011,28.08
33012,23.09
33013,19.01
33014,8.84
33015,10.08
33016,7.3
33017,3.77
33018,4.65
33003,0.18
33004,1.32
33005,7.42
33006,1.29
33007,6.12
33008,0.8
33009,2.5
33010,0.22
33001,0.33
33002,0.32
33011,22.62
33012,8.99
33013,16.94
33014,10.37
33015,14.53
33016,14.42
33017,6.23
33018,7.66
33003,0.38
33004,2.04
33005,12.8
33006,9.52
33007,31.98
33008,2.53
33009,22.2
33010,5.03
33001,15.24
33002,15.9
33011,9.54
33012,13.74
33013,6.81
33014,13.38
33015,18.62
33016,15.05
33017,2.13
33018,9.61
33003,12.08
33004,15.44
33005,17.61
33006,16.97
33007,18.19
33008,16.39
33009,15.32
33010,8.73
33001,18.91
33002,21.24
33011,14.12
33012,19.31
33013,6.91
33014,16.34
33015,20.73
33016,22.4
33017,2.67
33018,14.29
33003,16.06
33004,18.5
33005,20.72
33006,18.0
33007,19.86
33008,20.62
33009,18.9
33010,8.49
33001,6.93
33002,9.33
33011,16.51
33012,12.34
33013,8.7
33014,11.08
33015,35.85
33016,45.69
33017,3.53
33018,15.4
33003,3.43
33004,19.31
33005,33.46
33006,25.07
33007,40.37
33008,18.49
33009,27.45
33010,7.15
33001,2.81
33002,0.4
33011,21.9
33012,41.6
33013,16.08
33014,11.47
33015,4.48
33016,5.58
33017,4.68
33018,5.01
33003,0.58
33004,0.67
33005,4.05
33006,0.47
33007,2.22
33008,0.43
33009,3.06
33010,0.89
33001,1.45
33002,0.96
33011,19.35
33012,10.91
33013,20.08
33014,1.72
33015,12.06
33016,32.49
33017,5.78
33018,10.88
33003,0.32
33004,12.88
33005,17.01
33006,9.63
33007,25.44
33008,3.42
33009,22.75
33010,4.99
33001,15.0
33002,21.62
33011,7.83
33012,6.92
33013,4.48
33014,6.58
33015,8.29
33016,8.9
33017,0.53
33018,5.91
33003,12.21
33004,10.25
33005,11.7
33006,14.35
33007,11.63
33008,12.7
33009,9.86
33010,3.52
33001,16.23
33002,19.48
33011,12.41
33012,8.83
33013,8.26
33014,7.39
33015,11.6
33016,17.01
33017,2.08
33018,9.07
33003,12.31
33004,17.0
33005,16.17
33006,15.96
33007,18.36
33008,15.93
33009,15.39
33010,5.65
33001,13.02
33002,17.01
33011,10.9
33012,10.61
33013,9.91
33014,4.9
33015,25.32
33016,35.52
33017,1.57
33018,12.13
33003,5.24
33004,24.1
33005,26.08
33006,25.48
33007,38.27
33008,22.56
33009,29.15
33010,3.94
33001,6.78
33002,4.44
33011,8.5
33012,6.09
33013,11.11
33014,6.39
33015,44.83
33016,29.59
